State,1990-Commercial,1990-Electric Power,1990-Industrial,1990-Residential,1990-Transportation,1990-Total,2010-Commercial,2010-Electric Power,2010-Industrial,2010-Residential,2010-Transportation,2010-Total,Diff-Commercial,Diff-Electric Power,Diff-Industrial,Diff-Residential,Diff-Transportation,Diff-Total
New Hampshire,0.12315406990751396,0.42784694125409933,0.07113575276163628,0.2194277162382774,0.46915129568566255,1.3107157758471897,0.09621205245846848,0.40457040631385444,0.0577970465715132,0.17431697440883576,0.5525500347900066,1.2854465145426786,-21.87667648278157,-5.440388301483943,-18.75105790307554,-20.558360904807355,17.77651258160914,-1.9278978532304745
New Jersey,0.14098581469472415,0.1566319611467941,0.19609112461311487,0.1999268105490133,0.7350628240788987,1.428698535082545,0.12454714308430016,0.2003918896201433,0.10442397497058084,0.16719176960049792,0.7480786268578761,1.3446334041333983,-11.659805382561757,27.938058205335103,-46.74722011176797,-16.373512316143398,1.770706169950494,-5.884035636971499
New Mexico,0.10915679993217552,1.779832809314565,0.4631073556724813,0.12933785671942344,0.9764533351647702,3.4578881568034157,0.07593365375229642,1.3973195249174548,0.3870035727345705,0.11147318606104667,0.6689310725293915,2.64066100999476,-30.436167238799843,-21.491529001784198,-16.43329176393668,-13.812406600436516,-31.493800221747026,-23.633706752508942
New York,0.14882708005378678,0.3482877350397186,0.11237174592403971,0.18732528906622486,0.3557729482801636,1.1525847983639335,0.12912950035044712,0.19486197043446257,0.053103636568741355,0.16376404113261453,0.3561603521335578,0.8970195006198234,-13.235212097301687,-44.05144056759834,-52.74289267994644,-12.577718711156377,0.10889075610355985,-22.173231688191525
North Carolina,0.05635649240638078,0.6909525352280067,0.26039544517900315,0.0788783943045755,0.5759465236878183,1.662529390805784,0.05441967091756129,0.7413692919383318,0.11225915467522725,0.06756807656203676,0.5148478026755435,1.4904639967687008,-3.436731787445664,7.296703339208113,-56.888971464897494,-14.338929997567993,-10.608401735122245,-10.34961517003244
North Dakota,0.13330321945788282,4.3804071759567815,0.9527199650297561,0.17500900303441355,0.725153317076613,6.366592680555447,0.14400444683321661,4.566013059942819,1.3439098611191644,0.16018383549586598,1.0336142670657205,7.247725470456786,8.027733627779977,4.237183360596985,41.06032312204042,-8.471088504876727,42.53734247988254,13.839942872306784
Ohio,0.09734996458999784,0.9945737931742918,0.4628650056028251,0.18935844126772042,0.5161251256194449,2.26027233025428,0.09099348632826722,1.0212246162268916,0.3144745188837103,0.15314040718054622,0.5696504646468289,2.1494834932662443,-6.529512659302718,2.679622491111571,-32.05912845492701,-19.12670691874153,10.37061293288982,-4.901570288902839
Oklahoma,0.08010468225449176,1.1233621036418346,0.7377359415019888,0.12242095708716745,0.7590856868832023,2.8227093713686853,0.07313578033620421,1.2519577845421557,0.5465421038980356,0.10887852685605798,0.7671011051751755,2.747615300807629,-8.69974353827085,11.44739354153268,-25.916296990315175,-11.06218294100319,1.0559306321377744,-2.6603543149978712
Oregon,0.06638804128829262,0.06275717288817025,0.18721117049337938,0.0709714963947035,0.6997183652493117,1.0870462463138575,0.04947640906962382,0.2515710520600751,0.11592494326656182,0.06638677276920257,0.5688521863581857,1.0522113635236492,-25.47391350985848,300.86422074550836,-38.07797741926866,-6.459950625816421,-18.702693167771585,-3.204544692402221
Pennsylvania,0.11161128230081425,0.8742355207577328,0.5399931992803004,0.19874135976925386,0.49983744716485745,2.224418809272959,0.08327858710561226,0.9177523871709387,0.30858392211411734,0.16130243366222974,0.5263398068975899,1.9972571369504875,-25.38515337440514,4.9777051355094954,-42.854109547046875,-18.838014467895416,5.3021957204401575,-10.212180879585269
Rhode Island,0.11096592676901973,0.06592910262973474,0.06526920342546433,0.23266447477373148,0.4107604894656534,0.8855891970636036,0.08864699833834806,0.29235551143062627,0.060716728056266246,0.2155687042250042,0.40280885549328455,1.0600967975435291,-20.113316835653038,343.4392396822504,-6.974920989187322,-7.347821606780784,-1.935832237105599,19.70525397763996
South Carolina,0.04068416742474983,0.6259563692552885,0.3840499426617787,0.05897409540565899,0.6290982490063993,1.7387628237538755,0.0380642647151662,0.8613965871658965,0.2105634609946374,0.0486363512795966,0.6834646849415527,1.8421253490968492,-6.439612447346881,37.612879982468336,-45.17289612510778,-17.529296642794137,8.641962685640905,5.944601755391847
South Dakota,0.0985635017020489,0.44440739534156454,0.3033159820456433,0.19513110108865145,0.6691201495909488,1.7105381297688569,0.09590906752806506,0.4271800768871748,0.40695736323663073,0.12937539696381636,0.7999721086246285,1.8593940132403153,-2.693120808560578,-3.8764697966263797,34.16944286680923,-33.69821815076067,19.555824034543434,8.702283853302536
Tennessee,0.06988336824332332,0.9453106583890626,0.3835732641916669,0.06700235301232488,0.6709799456205057,2.1367495894568833,0.061264796548434045,0.6638174256492763,0.24732790696025356,0.07631513503164539,0.6570805943173017,1.7058058585069107,-12.332793784181542,-29.77785453297321,-35.52003488004659,13.899186522012819,-2.0715002577834407,-20.168190651648114
Texas,0.06915875968201454,1.0874783996135255,1.4170978852659841,0.07601563896532489,0.8939092259928693,3.543659909519719,0.048501231092040464,0.8765694223326336,0.8412483416059,0.05437953800275126,0.7771549749874342,2.59785350802076,-29.86972103744406,-19.394314163467158,-40.635833956664136,-28.462696962191025,-13.061085802728517,-26.690100789811588
Utah,0.0964802182618877,1.674937250718134,0.5675098208029815,0.15897657580796928,0.6148733918160746,3.1127772574070476,0.08779083916298978,1.2246359146635983,0.25515509245138634,0.13681092386260643,0.5913209225420016,2.2957136926825825,-9.006384163965407,-26.884669014404427,-55.03952828686523,-13.942715669091497,-3.8304583655033393,-26.248700024398193
Vermont,0.10328077277185826,0.007192425787626728,0.08155812502877136,0.24690435943470057,0.5331442644981037,0.9720799475210607,0.10174692724306063,0.0008429144006865461,0.08128394223808254,0.21320981476361625,0.5671344241467317,0.9642180227921776,-1.4851220489856518,-88.2805269657891,-0.3361808410775677,-13.646800221846874,6.375415044673869,-0.8087734706319315
Virginia,0.07135618642715547,0.3707679699347776,0.3140704898145116,0.10397033378779466,0.6677124644757728,1.527877444440012,0.06253814198032652,0.42114196770313395,0.16130099322286748,0.08993290711288955,0.6362866614323367,1.371200671451554,-12.357785482035139,13.58639414758985,-48.64178633333841,-13.50137694426927,-4.706487405190018,-10.254537990504998
Washington,0.06518179603972472,0.1531170695219275,0.34619642638255466,0.07232235931848854,0.8352268746164373,1.4720445258791328,0.05713546597982911,0.19300615491914688,0.18651105190838332,0.07616726631115288,0.626842359923504,1.1396622990420162,-12.344443615809263,26.051364176289287,-46.1256565074174,5.316346187950508,-24.94945038599603,-22.579631321859075
West Virginia,0.10989990382405379,3.908341425724722,1.037776806534609,0.13441926246884325,0.5787223404896271,5.769159739041855,0.08543769515713488,3.94522418529148,0.5621344154379345,0.10211553485872055,0.6292140767860014,5.324125907531271,-22.258626091322263,0.943693386764915,-45.83282147969378,-24.032067292148934,8.724691058868716,-7.71401472035676
Wisconsin,0.09819747583984055,0.6772483599962648,0.29277967186468434,0.19273987259208875,0.49535904939115866,1.756324429684037,0.0909780223126978,0.7403280537353178,0.2266350420064336,0.15164231837391545,0.5337988964629068,1.7433823328912714,-7.351974646392774,9.314115391789358,-22.591947534124284,-21.322808646424413,7.759996939390571,-0.7368853142408247
Wyoming,0.18853126231567813,8.827249348674204,2.287383806123124,0.18183952456523178,1.2724756955189667,12.757479637197203,0.16914267084910917,7.51536802418625,2.153666205959271,0.16478869605021768,1.496297640279192,11.499263237324042,-10.28401933367664,-14.86172274815133,-5.845875091268153,-9.37685498011595,17.58948682072406,-9.862578155363524
